search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types
pole fitness,Las Palmas,2026-06-11 16:40:31.276966,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole studio,Las Palmas,2026-06-11 16:40:32.671937,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole studio,Las Palmas,2026-06-11 16:40:32.671961,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole studio,Las Palmas,2026-06-11 16:40:32.671965,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole academy,Las Palmas,2026-06-11 16:40:34.292134,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole academy,Las Palmas,2026-06-11 16:40:34.292144,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole academy,Las Palmas,2026-06-11 16:40:34.292148,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole academy,Las Palmas,2026-06-11 16:40:34.292150,ChIJhZ0SIgmfQAwRL10wlRhC_Jg,No limits sur pole estudio,"C. Menéndez y Pelayo, 18, 35110 Vecindario, Las Palmas, Spain",5.0,34.0,27.8515798,-15.4426183,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole academy,Las Palmas,2026-06-11 16:40:34.292154,ChIJH5Hf-RWLQQ0Ru0n-vYg2r7U,Studio Pole And More,"Av. de las Provincias, 18, 28941 Fuenlabrada, Madrid, Spain",5.0,64.0,40.2964441,-3.8010749,OPERATIONAL,"establishment, point_of_interest"
pole academy,Las Palmas,2026-06-11 16:40:34.292156,ChIJz-19LBWVQAwRiw9yT5r65Xk,LiberArteGc,"C. Granadera Canaria, 12, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,31.0,28.0966656,-15.41318,OPERATIONAL,"establishment, point_of_interest"
