search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types,website,phone,horario,google_maps_url,lat_precisa,lng_precisa
pole fitness,Cuenca,2026-06-11 16:31:44.130738,ChIJ7fbe-GVnXQ0RhB65ugv5GK4,Sun Sport,"C. de Ramón y Cajal, 39, 16004 Cuenca, Spain",4.8,77.0,40.0696981,-2.1352313,OPERATIONAL,"establishment, gym, health, point_of_interest, store",,679 07 08 77,lunes: 8:00–22:00 | martes: 8:00–22:00 | miércoles: 8:00–22:00 | jueves: 8:00–22:00 | viernes: 8:00–22:00 | sábado: 9:00–14:30 | domingo: Cerrado,https://maps.google.com/?cid=12545050590813167236,40.0696981,
pole fitness,Cuenca,2026-06-11 16:31:44.130744,ChIJexidyixnXQ0RxNi-tnltyRI,Gimnasio Sparta Sport Center Cuenca by VivaGym,"Centro Comercial El Mirador, Av del Mediterráneo, s/n, 16004 Cuenca, Spain",4.5,443.0,40.0540711,-2.1223839,OPERATIONAL,"establishment, gym, health, point_of_interest",https://spartasportcenter.com/cuenca/,,lunes: 5:00–24:00 | martes: 5:00–24:00 | miércoles: 5:00–24:00 | jueves: 5:00–24:00 | viernes: 5:00–24:00 | sábado: 5:00–24:00 | domingo: 5:00–24:00,https://maps.google.com/?cid=1353733532525975748,40.0540711,
pole fitness,Cuenca,2026-06-11 16:31:44.130750,ChIJ-6CVKIVdXQ0Rzue6T18BuFI,Espacio Pachamama,"Av. de los Alfares, 70, 16002 Cuenca, Spain",4.9,220.0,40.0764673,-2.1538632,OPERATIONAL,"establishment, point_of_interest, store",http://www.espaciopachamama.com/,722 80 18 07,"lunes: 10:00–14:00, 17:00–23:00 | martes: 10:00–14:00, 17:00–23:00 | miércoles: 10:00–14:00, 17:00–23:00 | jueves: 10:00–14:00, 17:00–23:00 | viernes: 10:00–14:00, 17:00–23:00 | sábado: 10:00–14:00 | domingo: Cerrado",https://maps.google.com/?cid=5960515615696021454,40.0764673,
pole fitness,Cuenca,2026-06-11 16:31:44.130756,ChIJP79shgIPYw0RLUxVJJ-oR58,Power Pole Dance,"Av. de la Ventas, 16, 03191 Pilar de la Horadada, Alicante, Spain",5.0,36.0,37.8568193,-0.7908061,OPERATIONAL,"establishment, gym, health, point_of_interest",http://www.powerpoledance.es/,677 83 40 69,lunes: 15:00–22:00 | martes: 15:00–22:00 | miércoles: 15:00–22:00 | jueves: 15:00–22:00 | viernes: 15:00–22:00 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=11477327576839834669,37.8568193,
pole fitness,Cuenca,2026-06-11 16:31:44.130763,ChIJ54F2l3pnXQ0R7HtHgynAKkY,Zenergy,"P.º Parque Huécar, 2, 16001 Cuenca, Spain",4.9,31.0,40.07589370000001,-2.1358751,OPERATIONAL,"establishment, gym, health, point_of_interest",https://www.zenergystudio.es/,616 84 82 25,lunes: 8:00–21:30 | martes: 8:00–21:30 | miércoles: 8:00–21:30 | jueves: 8:00–21:30 | viernes: 8:00–11:00 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=5056064816205495276,40.07589370000001,
pole fitness,Cuenca,2026-06-11 16:31:44.130769,ChIJERMj5ZBnXQ0RTBNEeXj-nbE,"Centro de montaña y escalada ""La Reunión"". Sede del Club Estilo Alpino","Polígono los Palancares, 20, 16004 Cuenca, Spain",4.5,26.0,40.0520414,-2.1284151,OPERATIONAL,"establishment, point_of_interest",http://www.clubestiloalpino.com/,624 49 09 88,lunes: 16:00–22:00 | martes: 16:00–22:00 | miércoles: 16:00–22:00 | jueves: 16:00–22:00 | viernes: Cerrado | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=12798665509440852812,40.0520414,
pole fitness,Cuenca,2026-06-11 16:31:44.130778,ChIJfxGSiGVnXQ0RXKm2u7lCzq0,gym,"P.º Famadas, 1, 16004 Cuenca, Spain",4.9,65.0,40.0557912,-2.1325218,OPERATIONAL,"establishment, gym, health, point_of_interest",http://www.wushucuenca.com/,625 06 75 81,lunes: 16:30–22:00 | martes: 16:20–22:00 | miércoles: 16:30–22:00 | jueves: 16:20–22:00 | viernes: 17:00–22:00 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=12524020979249621340,40.0557912,
pole fitness,Cuenca,2026-06-11 16:31:44.130799,ChIJgbL5PcoZzZERtGQzXInaicA,? Lab,"Pasaje Sojos y Víctor León Vivar 2-43, 010204 Cuenca, Ecuador",5.0,1.0,-2.9116181,-79.0002883,OPERATIONAL,"establishment, gym, health, point_of_interest",,099 644 6195,,https://maps.google.com/?cid=13873860410583770292,-2.9116181,
pole fitness,Cuenca,2026-06-11 16:31:44.130804,ChIJa8IE7mvCKCoR4LqeVau3kG0,Pole Dance Studio Blue Heaven Valencia,"C. de Torres, 15, L'Olivereta, 46018 Valencia, Spain",4.8,70.0,39.4730459,-0.398802,OPERATIONAL,"establishment, point_of_interest",https://poledanceheaven.es/,613 05 57 88,lunes: 10:00–21:00 | martes: 10:00–21:00 | miércoles: 10:00–21:00 | jueves: 10:00–21:00 | viernes: 10:00–21:00 | sábado: 10:00–17:00 | domingo: 10:00–17:00,https://maps.google.com/?cid=7895012093284236000,39.4730459,
pole fitness,Cuenca,2026-06-11 16:31:44.130808,ChIJW4gjh5ldXQ0RmfotDktlCfg,Decathlon Cuenca,"Travesia Av. Cruz Roja Española, S/N, 16002 Cuenca, Spain",4.3,2742.0,40.07629,-2.158604,OPERATIONAL,"bicycle_store, clothing_store, establishment, point_of_interest, store",https://www.decathlon.es/es/store-view/tienda-de-deportes-cuenca-0070109801098?utm_campaign=maps&utm_medium=organic&utm_source=google,969 75 00 04,lunes: 9:30–21:00 | martes: 9:30–21:00 | miércoles: 9:30–21:00 | jueves: 9:30–21:00 | viernes: 9:30–21:00 | sábado: 9:30–21:00 | domingo: Cerrado,https://maps.google.com/?cid=17872927969231370905,40.07629,
pole fitness,Cuenca,2026-06-11 16:31:44.130812,ChIJ7YS9eFqLPw0R3VGETBDO2YA,Fit Pole Gredos,"P.º Sta. Lucía, 2, 05400 Arenas de San Pedro, Ávila, Spain",4.9,10.0,40.2108068,-5.092899300000001,OPERATIONAL,"establishment, point_of_interest",https://www.instagram.com/fitpolegredos/,624 28 46 44,lunes: 9:30–22:00 | martes: 9:30–22:00 | miércoles: 9:30–22:00 | jueves: 9:30–22:00 | viernes: 9:30–22:00 | sábado: 9:30–22:00 | domingo: Cerrado,https://maps.google.com/?cid=9284678676199526877,40.2108068,
pole fitness,Cuenca,2026-06-11 16:31:44.130815,ChIJywKD3z5nXQ0RU0aF8ORMuKs,Fisioterapia Y Pilates Terapeutico Atlas,"C. de Francisco de Luna, 8, 16004 Cuenca, Spain",4.9,74.0,40.0605293,-2.1228327,OPERATIONAL,"establishment, gym, health, point_of_interest",http://fisioterapiaypilatesatlas.com/,647 62 01 03,"lunes: 9:30–13:00, 15:00–22:00 | martes: 9:30–13:00, 15:00–22:00 | miércoles: 9:30–13:00, 15:00–22:00 | jueves: 9:30–13:00, 15:00–22:00 | viernes: 9:30–13:00, 17:00–20:00 | sábado: Cerrado | domingo: Cerrado",https://maps.google.com/?cid=12373724522371958355,40.0605293,
pole studio,Cuenca,2026-06-11 16:31:45.572892,ChIJh_QCPtMjzZER8Mb3ssOs290,Auris Pole Dance Studio,"Calle del Batan, y y Española, 010202 Cuenca, Ecuador",5.0,36.0,-2.89693,-79.02059659999999,OPERATIONAL,"establishment, gym, health, point_of_interest",https://crosshero.site/auris-pole-dance-studio-2,098 452 1543,"lunes: 7:00–9:00, 15:00–21:00 | martes: 8:00–11:00, 15:30–21:00 | miércoles: 7:00–11:00, 16:00–21:00 | jueves: 8:00–12:00, 15:30–21:00 | viernes: 7:00–11:00, 17:00–20:00 | sábado: 9:00–12:00 | domingo: Cerrado",https://maps.google.com/?cid=15986561258802890480,-2.89693,
